Analyse 1,Algebre 1,Electrostatique et Magnetostatique,Mecanique du Point,Architecture des Ordinateurs,Tec1,Electrocinetique et Optique Geometrique,Analyse2,Outils Informatiques,Algebre 2,Chimie Generale,Tec2 et Anglais,Mecanique du Solide,Algebre 3,Analyse 3,Thermodynamique et Statique des Fluides,Tec et Anglais 2,Electromagnetisme et Optique Physique,Electronique,Analyse 4,Probabilites et Statistiques,Programmation C,Dao et Materiaux,Organisation Entreprise et Economie,Moyenne,Moyenne de Baccalaureat,Region d'Origine,Filiere choisie
12,11,15,15,14,11,10,13,10,10,15,10,14,14,13,15,9,13,14,14,9,13,10,9,12.208333333333334,16.002805643913774,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,9,9,11,14,9,9,15,10,13,15,14,12,10,13,15,9,10,10,11,12,10,13,14,11.666666666666666,14.045314196353592,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
14,11,13,15,11,9,10,12,10,11,14,13,9,14,14,15,15,10,13,13,9,10,15,11,12.125,15.86190568508751,Souss-Massa,Genie Civil(BTP)
11,12,12,12,14,12,13,13,15,10,15,11,15,14,12,15,15,12,12,10,13,11,11,15,12.708333333333334,16.777675424294582,Laayoune-Sakia El Hamra,Genie de Procedes de l'Energie et de l'Environnement
14,15,10,10,13,11,11,14,11,11,15,14,10,12,11,15,11,11,15,12,13,14,9,13,12.291666666666666,16.252613956027094,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,15,14,15,14,11,9,10,14,11,15,12,11,10,13,10,15,9,14,15,10,11,15,13,12.416666666666666,17.985107096082942,Souss-Massa,Genie Industriel
9,9,13,10,11,14,13,12,15,14,15,14,15,14,11,15,9,14,10,11,15,11,11,13,12.416666666666666,15.467472362424123,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,13,15,15,15,13,15,9,13,15,10,14,11,10,12,15,13,15,9,10,11,11,14,14,12.708333333333334,14.999052474366955,Souss-Massa,Genie Mecanique
11,13,10,10,11,14,15,12,11,14,15,11,14,15,10,15,13,11,10,9,10,15,14,13,12.333333333333334,16.87033540856397,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,12,14,12,11,12,15,14,14,15,14,9,10,11,13,10,15,9,15,10,10,12,15,15,12.458333333333334,16.743174997346912,Souss-Massa,Genie Industriel
12,15,15,14,14,9,11,15,14,13,14,10,14,9,14,15,12,14,14,12,15,11,15,9,12.916666666666666,15.307678071238968,Tanger-Tetouan-Al Hoceima,Genie Industriel
10,13,11,14,13,12,13,14,14,14,15,13,14,13,11,13,13,9,14,9,12,13,15,9,12.541666666666666,16.39117957251689,Beni Mellal-Khenifra,Genie Industriel
14,10,12,15,15,14,9,11,14,11,15,10,15,13,13,15,9,14,13,11,10,11,11,14,12.458333333333334,17.301809767535985,Beni Mellal-Khenifra,Genie de Procedes de l'Energie et de l'Environnement
13,15,11,14,12,9,10,12,10,13,15,12,15,12,11,15,11,15,10,11,11,12,14,9,12.166666666666666,16.078822222481953,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,9,12,12,12,13,14,12,11,12,15,15,13,9,9,15,10,10,10,10,12,13,12,11,11.75,16.195016297605033,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,14,14,12,9,9,10,14,10,13,15,13,10,9,13,15,13,14,13,12,9,9,12,10,11.708333333333334,15.296377115816409,Casablanca-Settat,Genie de Procedes de l'Energie et de l'Environnement
11,12,15,15,15,10,15,12,9,13,15,10,13,14,12,13,15,12,15,12,10,15,13,10,12.75,16.929781871485517,Souss-Massa,Genie Electrique
11,13,11,11,15,9,13,12,12,11,15,13,12,10,12,15,15,10,14,10,13,10,13,10,12.083333333333334,13.921818339820971,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,14,14,14,11,12,14,15,9,12,15,15,10,10,11,15,12,14,13,15,9,12,12,13,12.666666666666666,16.853882922642136,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,13,11,10,15,14,14,11,10,9,15,10,12,13,15,15,13,11,9,11,11,15,15,11,12.25,16.53275320701226,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
10,11,11,12,15,14,10,10,15,12,15,9,12,10,15,15,9,15,15,13,14,15,15,12,12.666666666666666,12.337549285167135,Souss-Massa,Genie Industriel
10,13,9,11,10,12,10,9,12,10,15,12,12,13,15,15,9,11,12,11,9,14,11,15,11.666666666666666,15.383573218922946,Casablanca-Settat,Genie de Procedes de l'Energie et de l'Environnement
10,9,13,12,9,14,9,13,12,15,15,12,9,15,12,15,15,9,14,15,13,13,10,15,12.416666666666666,15.9583534995799,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,10,13,15,12,9,10,14,14,12,11,9,13,12,13,15,10,10,14,9,10,14,15,10,11.875,17.157527412138823,Souss-Massa,Genie Civil(BTP)
9,10,14,14,14,12,13,9,13,12,15,12,13,12,15,15,9,11,11,13,10,14,12,10,12.166666666666666,16.022673092817417,Draa-Tafilalet,Genie de Procedes de l'Energie et de l'Environnement
11,11,15,12,10,15,13,10,11,10,15,10,14,15,9,15,14,11,12,15,14,11,13,12,12.416666666666666,16.066135214343202,Laayoune-Sakia El Hamra,Genie de Procedes de l'Energie et de l'Environnement
12,15,15,9,10,14,15,15,9,11,12,14,15,13,13,12,14,14,14,11,13,15,14,9,12.833333333333334,15.580182711188542,Souss-Massa,Genie Electrique
9,10,12,14,14,11,9,13,11,13,15,13,15,14,15,15,11,9,10,9,9,12,14,10,11.958333333333334,15.515873191189316,Dakhla-Oued Ed-Dahab,Genie de Procedes de l'Energie et de l'Environnement
15,12,12,12,10,10,11,14,15,9,15,15,14,9,15,15,10,13,12,9,13,13,15,9,12.375,13.802607326847689,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,10,13,12,14,12,11,12,15,15,15,9,10,11,10,12,14,11,15,12,11,11,15,9,12.25,15.201424242983316,Souss-Massa,Genie Industriel
13,9,9,10,12,10,12,11,9,14,15,15,14,10,15,15,13,12,12,9,11,11,10,15,11.916666666666666,17.423163737501845,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,14,9,13,10,14,10,11,10,15,15,11,10,10,11,15,10,12,14,9,15,15,15,9,12.041666666666666,15.723613257146402,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
12,9,14,10,10,14,10,14,10,14,15,10,15,12,14,15,9,13,13,11,9,11,9,15,12.0,13.345546351275551,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
14,14,9,11,10,10,12,11,14,10,15,11,13,15,14,15,13,9,11,14,14,12,13,13,12.375,17.84805391387188,Laayoune-Sakia El Hamra,Genie de Procedes de l'Energie et de l'Environnement
15,15,11,9,14,9,11,15,15,13,15,11,15,14,10,15,11,13,9,12,9,11,14,9,12.291666666666666,15.49556909830132,Casablanca-Settat,Genie de Procedes de l'Energie et de l'Environnement
9,15,11,10,9,10,10,13,14,12,14,14,14,9,13,14,10,12,15,11,13,14,15,9,12.083333333333334,12.103516399399236,Souss-Massa,Genie Industriel
12,13,12,15,14,10,14,13,13,9,15,13,11,14,11,15,13,11,14,9,11,12,13,12,12.458333333333334,16.09931150698531,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,15,14,10,11,13,12,11,15,15,15,11,9,15,11,9,15,15,14,14,15,13,14,15,13.166666666666666,15.611639271398918,Casablanca-Settat,Genie Industriel
15,14,10,15,10,15,14,15,11,10,14,14,14,10,14,15,14,10,12,11,12,14,15,15,13.041666666666666,15.096848869270078,Souss-Massa,Genie Civil(BTP)
9,12,11,10,9,12,11,12,14,14,15,10,15,9,15,15,14,12,9,10,9,13,11,13,11.833333333333334,17.520574092677883,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
10,10,14,10,11,10,11,11,14,10,15,10,9,13,10,10,14,13,14,12,15,13,14,13,11.916666666666666,15.459828114062791,Laayoune-Sakia El Hamra,Genie Industriel
11,14,12,10,9,13,10,11,12,9,15,13,11,15,9,15,12,12,15,12,12,15,10,15,12.166666666666666,13.311267237462246,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,13,14,11,14,10,9,11,14,12,15,10,11,14,11,15,15,11,12,14,10,12,13,12,12.25,17.17240066699028,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
10,15,11,15,9,9,15,9,15,15,15,11,11,13,15,15,13,13,14,10,10,11,11,13,12.416666666666666,17.475065564854756,Rabat-Sale-Kenitra,Genie de Procedes de l'Energie et de l'Environnement
13,14,10,9,10,9,12,13,13,12,15,9,9,9,10,15,12,15,9,13,9,12,9,9,11.25,17.985437274311195,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,14,9,11,12,15,9,10,13,12,15,9,11,15,15,15,15,10,10,9,15,13,9,10,12.041666666666666,16.46829955209844,Oriental,Genie de Procedes de l'Energie et de l'Environnement
10,10,14,13,14,11,13,9,12,11,15,13,14,10,15,15,10,11,12,11,13,14,9,9,12.0,16.23732074035503,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,12,9,15,14,9,15,11,13,13,15,14,15,12,9,15,12,9,15,14,10,9,12,14,12.291666666666666,15.967288998754125,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,13,15,9,11,14,14,9,14,9,15,12,15,10,14,15,15,11,13,9,15,14,9,13,12.5,16.882359420583157,Tanger-Tetouan-Al Hoceima,Genie de Procedes de l'Energie et de l'Environnement
14,13,15,11,10,11,14,10,11,10,15,14,15,13,14,15,13,13,10,14,10,14,11,10,12.5,15.361639686986784,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
10,15,10,10,9,14,9,14,15,14,15,14,14,14,13,15,12,14,13,15,10,12,12,11,12.666666666666666,16.033753570013086,Rabat-Sale-Kenitra,Genie de Procedes de l'Energie et de l'Environnement
10,14,14,11,9,14,13,13,13,15,15,13,12,11,9,15,12,15,14,15,15,15,12,14,13.041666666666666,15.806703470529168,Guelmim-Oued Noun,Genie de Procedes de l'Energie et de l'Environnement
15,13,9,9,13,14,12,11,14,9,15,14,14,10,11,15,9,9,9,15,15,12,13,10,12.083333333333334,17.42088916560198,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,15,12,11,10,9,9,13,11,9,15,15,9,12,11,15,12,9,13,14,14,10,13,15,12.125,16.087892867103953,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,11,10,14,15,13,10,9,11,15,15,10,14,10,13,15,11,14,10,9,12,12,12,13,11.958333333333334,16.064074560427553,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,13,14,13,9,11,12,12,11,9,15,13,12,14,11,15,9,9,9,11,12,12,14,14,11.875,17.802811351818164,Rabat-Sale-Kenitra,Genie de Procedes de l'Energie et de l'Environnement
12,11,14,11,9,14,11,10,15,13,14,10,11,13,14,15,11,11,15,11,10,15,15,11,12.333333333333334,16.746085071538186,Guelmim-Oued Noun,Genie Industriel
10,13,15,14,10,15,13,12,14,15,15,12,10,9,14,15,10,9,15,14,13,10,12,9,12.416666666666666,16.793596308062064,Oriental,Genie de Procedes de l'Energie et de l'Environnement
9,11,12,15,15,9,13,11,12,12,15,13,11,9,12,15,11,15,10,13,9,13,10,15,12.083333333333334,13.697444955178188,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
9,11,12,12,9,14,14,13,9,14,15,12,12,11,12,15,13,11,14,15,12,14,12,9,12.25,13.96179465221138,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
